TrialIndex,Condition,TrialType,fix_duration,stim_duration,stimPicLeft,stimPicRight,stimPicMid,Ans,fixStart,stimStart,keyResp,resp,respCORR,respRT,IDNO,Run
0,ZeroBack,NoGo,2.423786291824652,0.5762137081753478,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//circle.png,,NA,262.22815610002726,264.6983901000349,None,None,,nan,001,1
1,ZeroBack,NoGo,1.7560878170910232,1.2439121829089768,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,,NA,265.2972715999931,267.1145149000222,None,None,,nan,001,1
3,ZeroBack,NoGo,2.2281615746559513,0.7718384253440487,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,,NA,268.3943364000297,270.6636674000183,None,None,,nan,001,1
4,ZeroBack,NoGo,2.1387199126550183,0.8612800873449817,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//circle.png,,NA,271.463797400007,273.66420930001186,None,None,,nan,001,1
6,ZeroBack,NoGo,2.209979364321898,0.7900206356781019,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,,NA,274.5477435000357,276.79819980001776,None,None,,nan,001,1
2,ZeroBack,ZeroBack,1.2763459995598092,4.723654000440191,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,left,277.614236399997,278.9490264999913,left,left,1,1.2490701000206172,001,1
7,ZeroBack,NoGo,2.477183964961588,0.5228160350384119,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,,NA,283.71045250003226,286.2464480000199,None,None,,nan,001,1
8,ZeroBack,NoGo,2.1039282044989505,0.8960717955010495,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//circle.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//triangle.png,,NA,286.7972043000045,288.94771440001205,None,None,,nan,001,1
9,ZeroBack,NoGo,1.7911110749064263,1.2088889250935737,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//circle.png,,NA,289.86374940001406,291.6979546000366,None,None,,nan,001,1
11,ZeroBack,NoGo,1.9035416116810135,1.0964583883189865,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//circle.png,c:\Users\Adjunct\Documents\GitHub\THINCLabTestRepo\Tasks\taskScripts//resources//ZeroBack_Task//stimuli//square.png,,NA,292.929558600008,294.8797256000107,None,None,,nan,001,1
