,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,22,19  +  6,0,1.45,79.45,25        23,79.45,1.45,80.9, ,80.9,81,0.1,1,15.0,15.042501300005824,16.487878300002194,20.49444090000179,None,False,None
1,78,17  +  7,3,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,right,18.0,20.52202290000423,21.96607870000298,24.903297900003963,2.930160900003102,False,left
2,31,17  +  6,6,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,left,21.0,24.92430510000122,26.36835090000386,27.820515600004,0.5930539999972098,False,right
3,75,16  +  6,9,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,right,24.0,27.84072759999981,29.28509880000638,32.00050540000666,2.7090723999936017,True,right
4,57,16  +  9,12,1.45,199.45,23        25,199.45,1.45,200.9, ,200.9,201,0.1,right,27.0,32.021765200006485,33.465679799999634,34.916989600002125,0.8731922000006307,True,right
5,41,19  +  9,15,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2,30.0,34.93806900000345,36.38919010000245,40.39660840000579,None,False,None
6,59,19  +  5,18,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,33.0,40.417119300000195,41.862801700001,45.868779900003574,None,False,None
7,6,17  +  7,21,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1,36.0,45.889470200003416,47.33403350000299,51.341660000005504,None,False,None
8,80,18  +  4,24,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1,39.0,51.36224210000364,52.80639930000325,56.81475650000357,None,False,None
9,51,18  +  6,27,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,42.0,56.834484600003634,58.27864510000654,62.28578220000054,None,False,None
10,15,17  +  4,30,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,45.0,62.3065013000014,63.75076320000517,67.75789970000187,None,False,None
11,14,16  +  8,33,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,48.0,67.77850610000314,69.22331960000156,73.23030190000281,None,False,None
12,16,17  +  9,36,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1,51.0,73.2507007000022,74.69584680000116,78.70228210000641,None,False,None
13,34,18  +  8,39,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,54.0,78.7231327000045,80.16797610000503,84.17487550000078,None,False,None
14,44,18  +  5,42,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2,57.0,84.19565870000224,85.63995250000153,89.6483892000033,None,False,None
