METADATA:
Block Runtime,Experiment Seed,Subject
90,3572073,Aryanna
Time after setup,85.98984299972653
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Math Task
Start Time,122.33144460059702
Math Task Start,165.87056609988213,,,,,,,,,
fixation cross,165.88427709974349,,,,,,,,,
Math Trial Start,167.9231080999598,,,,,,,,,
Choice presented,167.9416235005483,,,,,,,,,
Choice made,171.23940480034798,,,,,,,,,
Math Trial End,171.2394449999556,True,,,,,,,,
Math Trial End,171.23946020007133,True,,,,,,,,
Math Trial Start,173.2719732997939,,,,,,,,,
Choice presented,173.2913666004315,,,,,,,,,
Choice made,176.03889250010252,,,,,,,,,
Math Trial End,176.03892400022596,True,,,,,,,,
Math Trial End,176.03893780056387,True,,,,,,,,
Math Trial Start,178.06360459979624,,,,,,,,,
Choice presented,178.07366599980742,,,,,,,,,
Choice made,181.7890821006149,,,,,,,,,
Math Trial End,181.789122200571,False,,,,,,,,
Math Trial End,181.78913759998977,False,,,,,,,,
Math Trial Start,183.8202715003863,,,,,,,,,
Choice presented,183.8240227997303,,,,,,,,,
Choice made,186.0220042001456,,,,,,,,,
Math Trial End,186.02203579992056,True,,,,,,,,
Math Trial End,186.0220501003787,True,,,,,,,,
Math Trial Start,188.0524439001456,,,,,,,,,
Choice presented,188.05727470014244,,,,,,,,,
Choice made,190.15582059975713,,,,,,,,,
Math Trial End,190.15591329988092,True,,,,,,,,
Math Trial End,190.1559608001262,True,,,,,,,,
Math Trial Start,192.186090500094,,,,,,,,,
Choice presented,192.19088929984719,,,,,,,,,
Choice made,194.13869519997388,,,,,,,,,
Math Trial End,194.13873529992998,True,,,,,,,,
Math Trial End,194.1387513000518,True,,,,,,,,
Math Trial Start,196.16876120027155,,,,,,,,,
Choice presented,196.1738833002746,,,,,,,,,
Choice made,198.67150820046663,,,,,,,,,
Math Trial End,198.6715385997668,True,,,,,,,,
Math Trial End,198.6715524001047,True,,,,,,,,
Math Trial Start,200.70172980055213,,,,,,,,,
Choice presented,200.7068603001535,,,,,,,,,
Choice made,202.82178690005094,,,,,,,,,
Math Trial End,202.82185639999807,True,,,,,,,,
Math Trial End,202.82189100049436,True,,,,,,,,
Math Trial Start,204.85194450058043,,,,,,,,,
Choice presented,204.85692640021443,,,,,,,,,
Choice made,206.75463490001857,,,,,,,,,
Math Trial End,206.75467410031706,True,,,,,,,,
Math Trial End,206.7546893004328,True,,,,,,,,
Math Trial Start,208.78457400016487,,,,,,,,,
Choice presented,208.7897591004148,,,,,,,,,
Choice made,211.73821489978582,,,,,,,,,
Math Trial End,211.73829940054566,True,,,,,,,,
Math Trial End,211.73834280017763,True,,,,,,,,
Math Trial Start,213.76477530039847,,,,,,,,,
Choice presented,213.7734169997275,,,,,,,,,
Choice made,215.67142760008574,,,,,,,,,
Math Trial End,215.67151209991425,True,,,,,,,,
Math Trial End,215.67155580036342,True,,,,,,,,
Math Trial Start,217.69623770006,,,,,,,,,
Choice presented,217.70574139989913,,,,,,,,,
Choice made,219.62128979992121,,,,,,,,,
Math Trial End,219.6213770005852,True,,,,,,,,
Math Trial End,219.62142140045762,True,,,,,,,,
Math Trial Start,221.65192230045795,,,,,,,,,
Choice presented,221.6562010999769,,,,,,,,,
Choice made,224.3044606000185,,,,,,,,,
Math Trial End,224.30454520042986,True,,,,,,,,
Math Trial End,224.30458990018815,True,,,,,,,,
Math Trial Start,226.33472970034927,,,,,,,,,
Choice presented,226.33928730059415,,,,,,,,,
Choice made,228.63734440039843,,,,,,,,,
Math Trial End,228.63738510012627,True,,,,,,,,
Math Trial End,228.6374032003805,True,,,,,,,,
Math Trial Start,230.6674055000767,,,,,,,,,
Choice presented,230.6728461002931,,,,,,,,,
Choice made,233.1536608999595,,,,,,,,,
Math Trial End,233.15369320008904,True,,,,,,,,
Math Trial End,233.15370730031282,True,,,,,,,,
Math Trial Start,235.18013070058078,,,,,,,,,
Choice presented,235.18939059972763,,,,,,,,,
Choice made,237.5540214003995,,,,,,,,,
Math Trial End,237.55410549975932,False,,,,,,,,
Math Trial End,237.55414990056306,False,,,,,,,,
Math Trial Start,239.58347699977458,,,,,,,,,
Choice presented,239.58911880012602,,,,,,,,,
Choice made,241.53717270027846,,,,,,,,,
Math Trial End,241.53724579978734,True,,,,,,,,
Math Trial End,241.5372823001817,True,,,,,,,,
Math Trial Start,243.56677880045027,,,,,,,,,
Choice presented,243.57214500010014,,,,,,,,,
Choice made,245.9364728005603,,,,,,,,,
Math Trial End,245.93650349974632,True,,,,,,,,
Math Trial End,245.93651720043272,True,,,,,,,,
Math Trial Start,247.96451149974018,,,,,,,,,
Choice presented,247.9719278998673,,,,,,,,,
Choice made,249.93670690059662,,,,,,,,,
