METADATA:
Block Runtime,Experiment Seed,Subject
90,4355593,Enter Name Here
Time after setup,0.7136975005269051
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,4.466454500332475
gonogo START,4.466488299891353,,,,GoNoGo Task,1,4355593,,,
Go/NoGo Initialized,9.820447400212288,,,,GoNoGo Task,1,4355593,,,
Stimulus start,10.391344600357115,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,11.654966400004923,noResponse,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,12.218670200556517,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,13.220157300122082,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,14.282974500209093,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,15.288129700347781,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,16.353677400387824,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,17.604576100595295,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,18.169520700350404,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,19.171001399867237,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,20.235085000284016,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,21.237914700061083,True,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,21.80639600008726,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,23.070844400674105,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,24.135311299934983,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,25.387432999908924,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,25.94562629982829,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,26.953985700383782,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,28.016936699859798,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,29.020663000643253,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,29.82889990042895,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,31.087142900563776,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,32.15189869981259,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,33.403827800415456,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,33.967884900048375,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,34.72038700059056,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,35.78809399995953,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,36.55378460045904,True,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,37.62241480033845,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,38.387136300094426,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,38.95344390068203,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,40.20353290066123,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,41.01244289986789,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,42.270187300629914,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,43.33546430058777,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,44.58630620036274,True,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,45.65106480009854,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,46.90230169985443,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,47.71702030021697,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,48.9692493006587,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,50.023746400140226,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,51.03674910031259,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,51.84860230050981,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,52.854258600622416,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,53.4130119998008,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,54.170118800364435,True,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,54.975529599934816,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,56.2364618005231,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,56.805563000030816,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,58.069646400399506,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,58.6415292005986,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,59.40290370024741,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,60.2115743001923,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,61.21964910067618,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,62.03192410059273,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,63.03589479997754,True,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,64.09046430047601,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,65.35311709996313,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,66.15907429996878,,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus end,67.41951789986342,False,,,GoNoGo Task,1,4355593,,Type: NoGo,
Stimulus start,67.98231370002031,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,69.23704760055989,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,70.05423930007964,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,70.81935860030353,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,71.63754620030522,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,72.40259230043739,False,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,73.20656310021877,,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus end,74.21941060014069,noResponse,,,GoNoGo Task,1,4355593,,Type: Go,
Stimulus start,74.77701119985431,,,,GoNoGo Task,1,4355593,,Type: Go,
