METADATA:
Block Runtime,Experiment Seed,Subject
90,7788789,Enter Name Here
Time after setup,63.39010570012033
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,13
EXPERIMENT DATA:,One-Back Task
Start Time,70.52757410053164
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,183.07134949974716
ESQ,188.8330295998603,,Intrusive_response,6.899999999999994,Experience Sampling Questions,1,7788789,,Marker Started at 4,One-Back Task
ESQ,192.36503740027547,,Future_response,4.400000000000007,Experience Sampling Questions,1,7788789,,Marker Started at 7,One-Back Task
ESQ,195.5988822998479,,Other_response,6.100000000000007,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,198.7986471997574,,Absorption_response,4.10000000000001,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,202.4823014996946,,Modality_response,8.299999999999995,Experience Sampling Questions,1,7788789,,Marker Started at 7,One-Back Task
ESQ,219.4140587998554,,Detailed_response,4.2000000000000135,Experience Sampling Questions,1,7788789,,Marker Started at 9,One-Back Task
ESQ,223.79851489979774,,Past_response,3.200000000000016,Experience Sampling Questions,1,7788789,,Marker Started at 10,One-Back Task
ESQ,226.6476427996531,,Distracting_response,7.499999999999991,Experience Sampling Questions,1,7788789,,Marker Started at 5,One-Back Task
ESQ,229.181002500467,,Self_response,6.099999999999997,Experience Sampling Questions,1,7788789,,Marker Started at 4,One-Back Task
ESQ,232.1306629003957,,Knowledge_response,3.2999999999999994,Experience Sampling Questions,1,7788789,,Marker Started at 4,One-Back Task
ESQ,235.58018110040575,,Problem_response,4.800000000000003,Experience Sampling Questions,1,7788789,,Marker Started at 6,One-Back Task
ESQ,238.81408980023116,,Deliberate_response,3.4000000000000012,Experience Sampling Questions,1,7788789,,Marker Started at 2,One-Back Task
ESQ,242.9138147002086,,Focus_response,6.500000000000005,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,245.88106389995664,,Emotion_response,5.500000000000002,Experience Sampling Questions,1,7788789,,Marker Started at 6,One-Back Task
 
Runtime Mod,-12
EXPERIMENT DATA:,One-Back Task
Start Time,245.90411040000618
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,331.9447392998263
ESQ,337.2435226999223,,Knowledge_response,3.7000000000000095,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,341.9766397997737,,Past_response,6.30000000000001,Experience Sampling Questions,1,7788789,,Marker Started at 9,One-Back Task
ESQ,345.2267187004909,,Modality_response,7.899999999999991,Experience Sampling Questions,1,7788789,,Marker Started at 4,One-Back Task
ESQ,348.5268962001428,,Detailed_response,4.00000000000001,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,351.6931835003197,,Emotion_response,5.500000000000016,Experience Sampling Questions,1,7788789,,Marker Started at 10,One-Back Task
ESQ,355.1597825996578,,Focus_response,7.6999999999999975,Experience Sampling Questions,1,7788789,,Marker Started at 7,One-Back Task
ESQ,358.09389809984714,,Distracting_response,7.0,Experience Sampling Questions,1,7788789,,Marker Started at 7,One-Back Task
ESQ,361.7428643004969,,Deliberate_response,3.000000000000009,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,365.95997740048915,,Future_response,6.10000000000001,Experience Sampling Questions,1,7788789,,Marker Started at 9,One-Back Task
ESQ,369.5253894003108,,Absorption_response,3.4000000000000092,Experience Sampling Questions,1,7788789,,Marker Started at 8,One-Back Task
ESQ,373.20924129989,,Intrusive_response,4.9000000000000075,Experience Sampling Questions,1,7788789,,Marker Started at 7,One-Back Task
ESQ,375.675449100323,,Problem_response,3.4999999999999987,Experience Sampling Questions,1,7788789,,Marker Started at 5,One-Back Task
ESQ,378.7102487003431,,Self_response,6.099999999999997,Experience Sampling Questions,1,7788789,,Marker Started at 4,One-Back Task
ESQ,382.14223940018564,,Other_response,6.799999999999995,Experience Sampling Questions,1,7788789,,Marker Started at 3,One-Back Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Zero-Back Task
Start Time,382.1538284001872
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,473.97342209983617
ESQ,480.05622959975153,,Focus_response,7.199999999999995,Experience Sampling Questions,1,7788789,,Marker Started at 2,Zero-Back Task
ESQ,484.83875210024416,,Other_response,6.299999999999998,Experience Sampling Questions,1,7788789,,Marker Started at 2,Zero-Back Task
ESQ,487.98854979965836,,Emotion_response,5.6,Experience Sampling Questions,1,7788789,,Marker Started at 3,Zero-Back Task
ESQ,491.52124140039086,,Future_response,6.9000000000000075,Experience Sampling Questions,1,7788789,,Marker Started at 9,Zero-Back Task
ESQ,496.07087059970945,,Knowledge_response,4.500000000000007,Experience Sampling Questions,1,7788789,,Marker Started at 7,Zero-Back Task
ESQ,499.9057163000107,,Self_response,5.600000000000012,Experience Sampling Questions,1,7788789,,Marker Started at 9,Zero-Back Task
ESQ,504.1045418996364,,Absorption_response,4.100000000000017,Experience Sampling Questions,1,7788789,,Marker Started at 10,Zero-Back Task
ESQ,507.5877117002383,,Past_response,4.700000000000003,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,510.4205959001556,,Intrusive_response,3.5000000000000058,Experience Sampling Questions,1,7788789,,Marker Started at 7,Zero-Back Task
ESQ,513.1221826998517,,Problem_response,2.3000000000000003,Experience Sampling Questions,1,7788789,,Marker Started at 2,Zero-Back Task
ESQ,518.0543967997655,,Modality_response,6.399999999999996,Experience Sampling Questions,1,7788789,,Marker Started at 4,Zero-Back Task
ESQ,523.3382184002548,,Detailed_response,4.8000000000000105,Experience Sampling Questions,1,7788789,,Marker Started at 8,Zero-Back Task
ESQ,527.8212040998042,,Distracting_response,6.599999999999998,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,531.4535918002948,,Deliberate_response,3.6000000000000094,Experience Sampling Questions,1,7788789,,Marker Started at 8,Zero-Back Task
 
Runtime Mod,7
EXPERIMENT DATA:,Zero-Back Task
Start Time,531.4712057998404
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,632.8840188998729
ESQ,639.2833928000182,,Knowledge_response,8.000000000000007,Experience Sampling Questions,1,7788789,,Marker Started at 10,Zero-Back Task
ESQ,643.8326152004302,,Modality_response,4.900000000000018,Experience Sampling Questions,1,7788789,,Marker Started at 10,Zero-Back Task
ESQ,648.5490733003244,,Detailed_response,7.199999999999996,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,653.9668111996725,,Future_response,5.9,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,657.0666714999825,,Self_response,6.899999999999995,Experience Sampling Questions,1,7788789,,Marker Started at 3,Zero-Back Task
ESQ,659.9161237999797,,Other_response,4.700000000000003,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,662.6653914004564,,Emotion_response,6.9999999999999964,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,665.7985955998302,,Absorption_response,8.699999999999987,Experience Sampling Questions,1,7788789,,Marker Started at 5,Zero-Back Task
ESQ,669.1984959002584,,Intrusive_response,7.499999999999994,Experience Sampling Questions,1,7788789,,Marker Started at 2,Zero-Back Task
ESQ,672.3986638998613,,Past_response,8.09999999999999,Experience Sampling Questions,1,7788789,,Marker Started at 2,Zero-Back Task
ESQ,675.1822066996247,,Distracting_response,8.900000000000004,Experience Sampling Questions,1,7788789,,Marker Started at 10,Zero-Back Task
ESQ,678.8649874003604,,Deliberate_response,6.9999999999999964,Experience Sampling Questions,1,7788789,,Marker Started at 6,Zero-Back Task
ESQ,687.0815227003768,,Focus_response,4.400000000000017,Experience Sampling Questions,1,7788789,,Marker Started at 10,Zero-Back Task
ESQ,690.6307198004797,,Problem_response,3.899999999999999,Experience Sampling Questions,1,7788789,,Marker Started at 5,Zero-Back Task
 
Runtime Mod,8
EXPERIMENT DATA:,Math Task
Start Time,695.81500650011
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,799.9965295996517
ESQ,804.2771822996438,,Focus_response,2.1,Experience Sampling Questions,1,7788789,,Marker Started at 2,Math Task
