METADATA:
Block Runtime,Experiment Seed,Subject
90,4762814,Ian Goodall-Halliwell
Time after setup,27.880265299230814
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Friend Task
Start Time,79.23437849991024
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,184.35905769933015
ESQ,204.23455059994012,,Future_response,8.600000000000005,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,208.35051729995757,,Self_response,3.2,Experience Sampling Questions,1,4762814,,Marker Started at 3,Friend Task
ESQ,213.3175448998809,,Distracting_response,7.499999999999992,Experience Sampling Questions,1,4762814,,Marker Started at 4,Friend Task
ESQ,219.63255459908396,,Detailed_response,8.299999999999999,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,229.96654809918255,,Modality_response,2.000000000000008,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,236.41554829943925,,Other_response,2.3999999999999972,Experience Sampling Questions,1,4762814,,Marker Started at 5,Friend Task
ESQ,242.68303609918803,,Focus_response,7.699999999999992,Experience Sampling Questions,1,4762814,,Marker Started at 3,Friend Task
ESQ,246.58241409994662,,Intrusive_response,6.800000000000001,Experience Sampling Questions,1,4762814,,Marker Started at 7,Friend Task
ESQ,255.13238849956542,,Problem_response,7.900000000000004,Experience Sampling Questions,1,4762814,,Marker Started at 9,Friend Task
ESQ,259.69965989980847,,Past_response,2.100000000000015,Experience Sampling Questions,1,4762814,,Marker Started at 10,Friend Task
ESQ,264.4818313997239,,Emotion_response,5.6999999999999975,Experience Sampling Questions,1,4762814,,Marker Started at 5,Friend Task
ESQ,273.31539739947766,,Knowledge_response,7.499999999999995,Experience Sampling Questions,1,4762814,,Marker Started at 6,Friend Task
ESQ,278.03102389909327,,Deliberate_response,3.7000000000000006,Experience Sampling Questions,1,4762814,,Marker Started at 3,Friend Task
ESQ,282.4814117997885,,Absorption_response,6.699999999999996,Experience Sampling Questions,1,4762814,,Marker Started at 3,Friend Task
 
Runtime Mod,13
EXPERIMENT DATA:,Friend Task
Start Time,282.4950799997896
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,418.88372539915144
ESQ,425.19352849945426,,Intrusive_response,5.8,Experience Sampling Questions,1,4762814,,Marker Started at 2,Friend Task
ESQ,427.26051559951156,,Absorption_response,7.400000000000009,Experience Sampling Questions,1,4762814,,Marker Started at 10,Friend Task
ESQ,430.92695019952953,,Distracting_response,8.199999999999989,Experience Sampling Questions,1,4762814,,Marker Started at 4,Friend Task
ESQ,433.3930845996365,,Emotion_response,8.9,Experience Sampling Questions,1,4762814,,Marker Started at 9,Friend Task
ESQ,441.77777939941734,,Problem_response,5.700000000000008,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,444.7937805997208,,Future_response,7.400000000000002,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,449.1260371999815,,Self_response,1.7000000000000117,Experience Sampling Questions,1,4762814,,Marker Started at 9,Friend Task
ESQ,452.55960779916495,,Modality_response,1.8999999999999975,Experience Sampling Questions,1,4762814,,Marker Started at 5,Friend Task
ESQ,456.9256409993395,,Detailed_response,8.099999999999993,Experience Sampling Questions,1,4762814,,Marker Started at 6,Friend Task
ESQ,460.8933085994795,,Other_response,7.800000000000008,Experience Sampling Questions,1,4762814,,Marker Started at 10,Friend Task
ESQ,465.89222479984164,,Deliberate_response,7.6999999999999975,Experience Sampling Questions,1,4762814,,Marker Started at 7,Friend Task
ESQ,470.1582106994465,,Past_response,7.500000000000002,Experience Sampling Questions,1,4762814,,Marker Started at 8,Friend Task
ESQ,474.97402329929173,,Focus_response,7.69999999999999,Experience Sampling Questions,1,4762814,,Marker Started at 5,Friend Task
ESQ,479.7755314996466,,Knowledge_response,2.799999999999999,Experience Sampling Questions,1,4762814,,Marker Started at 4,Friend Task
 
Runtime Mod,13
EXPERIMENT DATA:,You Task
Start Time,479.78869129996747
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,615.2443546997383
ESQ,619.6042924998328,,Emotion_response,2.0,Experience Sampling Questions,1,4762814,,Marker Started at 2,You Task
ESQ,631.1863693995401,,Past_response,8.699999999999998,Experience Sampling Questions,1,4762814,,Marker Started at 8,You Task
ESQ,636.8207828998566,,Self_response,8.199999999999996,Experience Sampling Questions,1,4762814,,Marker Started at 7,You Task
