METADATA:
Block Runtime,Experiment Seed,Subject
90,4920560,subject002
Time after setup,1203.7436588000273
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Easy Math Task
Start Time,1225.375265700015
Math Task Start,21.20295220002299,,,,Easy Math Task,1,4920560,,,
fixation cross,21.221095300017623,,,,Easy Math Task,1,4920560,,,
Math Trial Start,23.260484099999303,,,,Easy Math Task,1,4920560,,,
Choice presented,23.280585500004236,,,,Easy Math Task,1,4920560,,,
Choice made,25.34540730001754,,,,Easy Math Task,1,4920560,,,
Math Trial End,25.345509700011462,True,,,Easy Math Task,1,4920560,,,
Math Trial End,25.345560400019167,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,27.388260800013086,,,,Easy Math Task,1,4920560,,,
Choice presented,27.4036837000167,,,,Easy Math Task,1,4920560,,,
Choice made,29.2613599000033,,,,Easy Math Task,1,4920560,,,
Math Trial End,29.261392100015655,True,,,Easy Math Task,1,4920560,,,
Math Trial End,29.261406300007366,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,31.293527900008485,,,,Easy Math Task,1,4920560,,,
Choice presented,31.31340129999444,,,,Easy Math Task,1,4920560,,,
Choice made,34.22786139999516,,,,Easy Math Task,1,4920560,,,
Math Trial End,34.22790300002089,False,,,Easy Math Task,1,4920560,,,
Math Trial Start,36.25549989999854,,,,Easy Math Task,1,4920560,,,
Choice presented,36.26243150001392,,,,Easy Math Task,1,4920560,,,
Choice made,38.12828050000826,,,,Easy Math Task,1,4920560,,,
Math Trial End,38.12836830000742,True,,,Easy Math Task,1,4920560,,,
Math Trial End,38.12841450000997,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,40.15798050002195,,,,Easy Math Task,1,4920560,,,
Choice presented,40.16339980001794,,,,Easy Math Task,1,4920560,,,
Choice made,42.04461720000836,,,,Easy Math Task,1,4920560,,,
Math Trial End,42.044658300001174,True,,,Easy Math Task,1,4920560,,,
Math Trial End,42.04467440000735,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,44.074370200018166,,,,Easy Math Task,1,4920560,,,
Choice presented,44.07979030002025,,,,Easy Math Task,1,4920560,,,
Choice made,45.94401010000729,,,,Easy Math Task,1,4920560,,,
Math Trial End,45.94404480000958,True,,,Easy Math Task,1,4920560,,,
Math Trial End,45.94405910000205,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,47.97074250000878,,,,Easy Math Task,1,4920560,,,
Choice presented,47.979944200022146,,,,Easy Math Task,1,4920560,,,
Choice made,49.79458479999448,,,,Easy Math Task,1,4920560,,,
Math Trial End,49.79468079999788,True,,,Easy Math Task,1,4920560,,,
Math Trial End,49.794730399997206,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,51.82429570000386,,,,Easy Math Task,1,4920560,,,
Choice presented,51.82954580002115,,,,Easy Math Task,1,4920560,,,
Choice made,53.69413730001543,,,,Easy Math Task,1,4920560,,,
Math Trial End,53.694178500009,True,,,Easy Math Task,1,4920560,,,
Math Trial End,53.69419629999902,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,55.72489169999608,,,,Easy Math Task,1,4920560,,,
Choice presented,55.729391300003044,,,,Easy Math Task,1,4920560,,,
Choice made,57.59442830001353,,,,Easy Math Task,1,4920560,,,
Math Trial End,57.59453329999815,True,,,Easy Math Task,1,4920560,,,
Math Trial End,57.59458710000035,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,59.6240453000064,,,,Easy Math Task,1,4920560,,,
Choice presented,59.62920470000245,,,,Easy Math Task,1,4920560,,,
Choice made,61.51025700001628,,,,Easy Math Task,1,4920560,,,
Math Trial End,61.51028820002102,True,,,Easy Math Task,1,4920560,,,
Math Trial End,61.51030230001197,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,63.539925799996126,,,,Easy Math Task,1,4920560,,,
Choice presented,63.54578380001476,,,,Easy Math Task,1,4920560,,,
Choice made,65.76024390000384,,,,Easy Math Task,1,4920560,,,
Math Trial End,65.76027600001544,True,,,Easy Math Task,1,4920560,,,
Math Trial End,65.76030860000174,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,67.79004439999699,,,,Easy Math Task,1,4920560,,,
Choice presented,67.79564430000028,,,,Easy Math Task,1,4920560,,,
Choice made,69.71065980001003,,,,Easy Math Task,1,4920560,,,
Math Trial End,69.7107582000026,True,,,Easy Math Task,1,4920560,,,
Math Trial End,69.7108084000065,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,71.74026039999444,,,,Easy Math Task,1,4920560,,,
Choice presented,71.74571509999805,,,,Easy Math Task,1,4920560,,,
Choice made,73.62657580000814,,,,Easy Math Task,1,4920560,,,
Math Trial End,73.62660610000603,True,,,Easy Math Task,1,4920560,,,
Math Trial End,73.62662070000079,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,75.65688409999711,,,,Easy Math Task,1,4920560,,,
Choice presented,75.66230570001062,,,,Easy Math Task,1,4920560,,,
Choice made,77.52646610001102,,,,Easy Math Task,1,4920560,,,
Math Trial End,77.52650050001102,True,,,Easy Math Task,1,4920560,,,
Math Trial End,77.52651460000197,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,79.55601280002156,,,,Easy Math Task,1,4920560,,,
Choice presented,79.56216790000326,,,,Easy Math Task,1,4920560,,,
Choice made,81.4931007999985,,,,Easy Math Task,1,4920560,,,
Math Trial End,81.49313250000705,True,,,Easy Math Task,1,4920560,,,
Math Trial End,81.49314740000409,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,83.52300960000139,,,,Easy Math Task,1,4920560,,,
Choice presented,83.52839570000651,,,,Easy Math Task,1,4920560,,,
Choice made,85.4761320000107,,,,Easy Math Task,1,4920560,,,
Math Trial End,85.47616340001696,True,,,Easy Math Task,1,4920560,,,
Math Trial End,85.47619620000478,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,87.50678460000199,,,,Easy Math Task,1,4920560,,,
Choice presented,87.5118093000201,,,,Easy Math Task,1,4920560,,,
Choice made,89.36016209999798,,,,Easy Math Task,1,4920560,,,
Math Trial End,89.36025530000916,True,,,Easy Math Task,1,4920560,,,
Math Trial End,89.3603041000024,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,91.39002069999697,,,,Easy Math Task,1,4920560,,,
Choice presented,91.395147800009,,,,Easy Math Task,1,4920560,,,
Choice made,93.24277090001851,,,,Easy Math Task,1,4920560,,,
Math Trial End,93.24281820000033,True,,,Easy Math Task,1,4920560,,,
Math Trial End,93.24283530001412,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,95.27249350000056,,,,Easy Math Task,1,4920560,,,
Choice presented,95.27824420001707,,,,Easy Math Task,1,4920560,,,
Choice made,97.10913830000209,,,,Easy Math Task,1,4920560,,,
Math Trial End,97.10917080001673,True,,,Easy Math Task,1,4920560,,,
Math Trial End,97.10918530001072,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,99.14129910001066,,,,Easy Math Task,1,4920560,,,
Choice presented,99.16186680001556,,,,Easy Math Task,1,4920560,,,
Choice made,100.99262200001976,,,,Easy Math Task,1,4920560,,,
Math Trial End,100.99269740001182,True,,,Easy Math Task,1,4920560,,,
Math Trial End,100.99273560001166,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,103.02292020001914,,,,Easy Math Task,1,4920560,,,
Choice presented,103.02802280001924,,,,Easy Math Task,1,4920560,,,
Choice made,104.94244179999805,,,,Easy Math Task,1,4920560,,,
Math Trial End,104.94249970000237,True,,,Easy Math Task,1,4920560,,,
Math Trial End,104.94252140002209,True,,,Easy Math Task,1,4920560,,,
Math Task End,106.9597414000018,,,,Easy Math Task,1,4920560,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1332.381350700016
ESQ,1339.9857463000226,,Past_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1348.0010107000126,,Past_response,6.799999999999994,Experience Sampling Questions,1,4920560,,Marker Started at 5,Easy Math Task
ESQ,1348.002247700002,,Problem_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1360.5176529000164,,Problem_response,7.299999999999995,Experience Sampling Questions,1,4920560,,Marker Started at 6,Easy Math Task
ESQ,1360.5187951000116,,Detailed_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1365.368141700019,,Detailed_response,6.6000000000000085,Experience Sampling Questions,1,4920560,,Marker Started at 9,Easy Math Task
ESQ,1365.3692915000138,,Emotion_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1370.8835071000212,,Emotion_response,7.8999999999999915,Experience Sampling Questions,1,4920560,,Marker Started at 3,Easy Math Task
ESQ,1370.8846361000033,,Modality_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1375.733363300009,,Modality_response,10.0,Experience Sampling Questions,1,4920560,,Marker Started at 8,Easy Math Task
ESQ,1375.7345123000268,,Intrusive_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1379.3512321000162,,Intrusive_response,3.0,Experience Sampling Questions,1,4920560,,Marker Started at 3,Easy Math Task
ESQ,1379.3524867000233,,Other_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1384.333433300024,,Other_response,1.3999999999999995,Experience Sampling Questions,1,4920560,,Marker Started at 3,Easy Math Task
ESQ,1384.334573,,Future_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1391.4674373000162,,Future_response,6.800000000000004,Experience Sampling Questions,1,4920560,,Marker Started at 8,Easy Math Task
ESQ,1391.468574300001,,Self_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1396.4999342000228,,Self_response,5.999999999999997,Experience Sampling Questions,1,4920560,,Marker Started at 4,Easy Math Task
ESQ,1396.5010626000003,,Distracting_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1401.4014829000225,,Distracting_response,3.4000000000000163,Experience Sampling Questions,1,4920560,,Marker Started at 10,Easy Math Task
ESQ,1401.402628700016,,Deliberate_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1407.466189800005,,Deliberate_response,8.49999999999999,Experience Sampling Questions,1,4920560,,Marker Started at 4,Easy Math Task
ESQ,1407.4673235000228,,Absorption_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1411.4157976999995,,Absorption_response,10.0,Experience Sampling Questions,1,4920560,,Marker Started at 8,Easy Math Task
ESQ,1411.4168968000158,,Knowledge_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1417.116663200024,,Knowledge_response,10.0,Experience Sampling Questions,1,4920560,,Marker Started at 10,Easy Math Task
ESQ,1417.1172147000034,,Focus_start,,Experience Sampling Questions,1,4920560,,,Easy Math Task
ESQ,1421.049934700015,,Focus_response,1.5999999999999983,Experience Sampling Questions,1,4920560,,Marker Started at 4,Easy Math Task
EXPERIMENT DATA:,Easy Math Task
Start Time,1421.0693788000208
Math Task Start,10.657093400019221,,,,Easy Math Task,1,4920560,,,
fixation cross,10.669143700011773,,,,Easy Math Task,1,4920560,,,
Math Trial Start,12.706637199997203,,,,Easy Math Task,1,4920560,,,
Choice presented,12.726171400019666,,,,Easy Math Task,1,4920560,,,
Choice made,14.590811800007941,,,,Easy Math Task,1,4920560,,,
Math Trial End,14.590878799994243,True,,,Easy Math Task,1,4920560,,,
Math Trial End,14.59091480000643,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,16.621512800018536,,,,Easy Math Task,1,4920560,,,
Choice presented,16.62560990001657,,,,Easy Math Task,1,4920560,,,
Choice made,18.70700160000706,,,,Easy Math Task,1,4920560,,,
Math Trial End,18.707042599999113,True,,,Easy Math Task,1,4920560,,,
Math Trial End,18.707058900006814,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,20.737443000019994,,,,Easy Math Task,1,4920560,,,
Choice presented,20.742465999996057,,,,Easy Math Task,1,4920560,,,
Choice made,22.590565399994375,,,,Easy Math Task,1,4920560,,,
Math Trial End,22.590637700021034,True,,,Easy Math Task,1,4920560,,,
Math Trial End,22.590675000014016,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,24.621921800018754,,,,Easy Math Task,1,4920560,,,
Choice presented,24.625788900011685,,,,Easy Math Task,1,4920560,,,
Choice made,26.52331069999491,,,,Easy Math Task,1,4920560,,,
Math Trial End,26.523341399995843,True,,,Easy Math Task,1,4920560,,,
Math Trial End,26.523355300014373,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,28.554864400008228,,,,Easy Math Task,1,4920560,,,
Choice presented,28.558721500012325,,,,Easy Math Task,1,4920560,,,
Choice made,30.40710620000027,,,,Easy Math Task,1,4920560,,,
Math Trial End,30.407231899996987,True,,,Easy Math Task,1,4920560,,,
Math Trial End,30.407289099995978,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,32.432071400020504,,,,Easy Math Task,1,4920560,,,
Choice presented,32.441940100019565,,,,Easy Math Task,1,4920560,,,
Choice made,34.40691030002199,,,,Easy Math Task,1,4920560,,,
Math Trial End,34.40700460001244,True,,,Easy Math Task,1,4920560,,,
Math Trial End,34.40705280000111,True,,,Easy Math Task,1,4920560,,,
Math Trial Start,36.43660119999549,,,,Easy Math Task,1,4920560,,,
Choice presented,36.4417117999983,,,,Easy Math Task,1,4920560,,,
Choice made,38.3228946000163,,,,Easy Math Task,1,4920560,,,
Math Trial End,38.3229259000218,False,,,Easy Math Task,1,4920560,,,
Math Trial End,38.322959800018,False,,,Easy Math Task,1,4920560,,,
Math Trial Start,40.35322489999817,,,,Easy Math Task,1,4920560,,,
Choice presented,40.35845830000471,,,,Easy Math Task,1,4920560,,,
Choice made,42.35628830001224,,,,Easy Math Task,1,4920560,,,
