trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
,,,,,,,,,,,,,0.0078125,0.1475,0,0,0,None,None,,,,,,,,,,,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,99.79929580001044,None,99.81362539999827,None,None,99.81362539999827,None,3,102.93287560000317,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,103.93889010000566,None,None,103.93889010000566,None,4,108.93909020000137,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,112.94019900000421,None,None,112.94019900000421,None,1,117.93987370000104,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,120.93964450000203,None,None,120.93964450000203,None,1,125.93940820000716,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,127.93878320000658,None,None,127.93878320000658,None,2,132.95471270001144,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,3,136.9598069000058,136.9598069000058,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,140.96014960001048,None,143.96057300000393,None,None,143.96057300000393,None,1,148.9611225000117,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,152.95995630000834,None,None,152.95995630000834,None,3,157.96057370000926,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,161.96106539999892,None,None,161.96106539999892,None,4,166.96135750001122,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,167.9610332000011,None,None,167.9610332000011,None,2,172.9602778999979,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,175.9613231000112,None,None,175.9613231000112,None,3,180.96112459999858,None,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,183.97897880000528,183.97897880000528,001,,2022_Jan_11_2257,FingTap,2021.2.3,143.16863688225388,
