trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
,,,,,,,,,,,,,0.42083333333333334,0.3425925925925926,0,0,0,None,None,,,,,,,,,,,,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,245.91102240001783,None,248.96108790003927,None,space,0.6816735999891534,248.96108790003927,None,4,249.7110340000363,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,252.7609374000458,None,space,0.5938692999770865,252.7609374000458,None,4,253.4108661999926,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,257.46071980003035,None,space,0.46212879999075085,257.46071980003035,None,3,258.01072770002065,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,262.0605960999965,None,space,0.43807319999905303,262.0605960999965,None,3,262.56049970001914,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,266.61030160001246,None,space,0.5203992000315338,266.61030160001246,None,1,267.21031390002463,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,271.2601155000157,271.2601155000157,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,273.3100750000449,None,276.35991090000607,None,space,0.48277379997307435,276.35991090000607,None,4,276.9099025000469,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,277.9598785000271,None,space,0.610686500032898,277.9598785000271,None,4,278.62650770001346,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,282.67634800000815,None,space,0.39819710003212094,282.67634800000815,None,4,283.12636019999627,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,287.17612860002555,None,space,0.41853580001043156,287.17612860002555,None,3,287.67608130001463,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,288.7260810000007,None,space,0.5004407999804243,288.7260810000007,None,4,289.2760656000464,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,290.32595650001895,290.32595650001895,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,292.3759366000304,None,295.425805100007,None,None,,295.425805100007,None,1,300.4255574000417,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,304.4754102000152,None,None,,304.4754102000152,None,4,309.5251733000041,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,311.5751295000082,None,space,4.083366899983957,311.5751295000082,None,1,315.72493399999803,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,318.77481070003705,None,space,0.523507600009907,318.77481070003705,None,4,319.3747891000239,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,320.42470840003807,None,space,0.5456031000358053,320.42470840003807,None,2,321.0247096000239,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,322.0746938000084,322.0746938000084,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,326.12451990001136,None,329.1743852000218,None,space,0.7239764000405557,329.1743852000218,None,2,329.9743884000345,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,334.0241674000281,None,space,0.49816840002313256,334.0241674000281,None,3,334.5741490999935,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,336.62405139999464,None,space,0.522150699980557,336.62405139999464,None,1,337.22402890003286,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,341.2738766000257,None,space,0.48829800001112744,341.2738766000257,None,4,341.8238537000143,None,001,,2022_Jan_19_1618,FingTap,2021.2.3,19.990192811199325,
