trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
80,4  +  2,282,1.45,283.45,4        6,283.45,1.45,284.9, ,284.9,285,0.1,2
48,4  +  3,171,1.45,172.45,9        7,172.45,1.45,173.9, ,173.9,174,0.1,2
15,6  +  2,42,1.45,43.45,8        6,43.45,1.45,44.9, ,44.9,45,0.1,1
52,5  +  4,183,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1
67,5  +  2,243,1.45,244.45,7        9,244.45,1.45,245.9, ,245.9,246,0.1,1
44,9  +  1,159,1.45,160.45,10        12,160.45,1.45,161.9, ,161.9,162,0.1,1
21,5  +  3,75,1.45,76.45,6        8,76.45,1.45,77.9, ,77.9,78,0.1,2
71,7  +  1,255,1.45,256.45,8        6,256.45,1.45,257.9, ,257.9,258,0.1,1
64,5  +  3,234,1.45,235.45,8        6,235.45,1.45,236.9, ,236.9,237,0.1,1
1,4  +  2,0,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2
2,2  +  5,3,1.45,4.45,5        7,4.45,1.45,5.9, ,5.9,6,0.1,2
37,2  +  1,123,1.45,124.45,3        5,124.45,1.45,125.9, ,125.9,126,0.1,1
40,2  +  7,132,1.45,133.45,7        9,133.45,1.45,134.9, ,134.9,135,0.1,2
20,1  +  8,57,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2
32,5  +  4,108,1.45,109.45,7        9,109.45,1.45,110.9, ,110.9,111,0.1,2
14,9  +  1,39,1.45,40.45,8        10,40.45,1.45,41.9, ,41.9,42,0.1,2
60,1  +  3,207,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2
56,1  +  8,195,1.45,196.45,11        9,196.45,1.45,197.9, ,197.9,198,0.1,2
74,1  +  4,264,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1
53,2  +  5,186,1.45,187.45,9        7,187.45,1.45,188.9, ,188.9,189,0.1,2
6,1  +  6,15,1.45,16.45,7        5,16.45,1.45,17.9, ,17.9,18,0.1,1
31,1  +  1,105,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1
72,3  +  2,258,1.45,259.45,5        7,259.45,1.45,260.9, ,260.9,261,0.1,1
41,2  +  6,150,1.45,151.45,8        6,151.45,1.45,152.9, ,152.9,153,0.1,1
11,4  +  6,30,1.45,31.45,8        10,31.45,1.45,32.9, ,32.9,33,0.1,2
62,1  +  7,228,1.45,229.45,6        8,229.45,1.45,230.9, ,230.9,231,0.1,2
19,3  +  7,54,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1
59,4  +  1,204,1.45,205.45,5        3,205.45,1.45,206.9, ,206.9,207,0.1,1
68,4  +  5,246,1.45,247.45,9        7,247.45,1.45,248.9, ,248.9,249,0.1,1
78,5  +  1,276,1.45,277.45,8        6,277.45,1.45,278.9, ,278.9,279,0.1,2
27,5  +  4,93,1.45,94.45,7        9,94.45,1.45,95.9, ,95.9,96,0.1,2
47,4  +  6,168,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1
63,4  +  3,231,1.45,232.45,9        7,232.45,1.45,233.9, ,233.9,234,0.1,2
65,1  +  4,237,1.45,238.45,5        7,238.45,1.45,239.9, ,239.9,240,0.1,1
18,4  +  2,51,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1
58,7  +  2,201,1.45,202.45,9        7,202.45,1.45,203.9, ,203.9,204,0.1,1
12,7  +  1,33,1.45,34.45,6        8,34.45,1.45,35.9, ,35.9,36,0.1,2
34,3  +  3,114,1.45,115.45,6        8,115.45,1.45,116.9, ,116.9,117,0.1,1
22,1  +  6,78,1.45,79.45,7        9,79.45,1.45,80.9, ,80.9,81,0.1,1
10,1  +  5,27,1.45,28.45,6        8,28.45,1.45,29.9, ,29.9,30,0.1,1
